Ward,Suburb,Property_code,Park_Name,Node_ID,Node_Name,Item_ID,Item_Type,Item_Description,Latitude,Longitude,Easting,Northing,Equipment_ID
MACGREGOR,EIGHT MILE PLAINS,D1961,BUCKINGHAM PLACE PARK,B-RE-0122-N002,MANCHESTER ST PICNIC AREA,170725,BUBBLER/DRINKING FOUNTAIN,BUBBLER & TAP,-27.5751,153.097,509535,6949860,200554625
MORNINGSIDE,MORNINGSIDE,D1858,KERALGERIE PARK,B-RE-0127-N001,KERALGERIE PK DOG OFF LEASH AREA,30724,BUBBLER/DRINKING FOUNTAIN,BUBBLER 2 TAPS & DOG BOWL,-27.4738,153.08,507859,6961090,200480875
MORNINGSIDE,MORNINGSIDE,D1858,KERALGERIE PARK,B-RE-0127-N003,BALANCE OF PARK,42582,BUBBLER/DRINKING FOUNTAIN,BUBBLER & 2 TAPS,-27.4735,153.079,507823,6961110,200486667
MCDOWALL,CHERMSIDE WEST,D1854,HAMILTON ROAD QUARRY PARK,B-RE-0130-N001,HAMILTON RD QUARRY PK SPORTS FIELD,172543,BUBBLER/DRINKING FOUNTAIN,BUBBLER & 2 TAPS,-27.3803,153.004,500375,6971450,200555981
MCDOWALL,CHERMSIDE WEST,D1854,HAMILTON ROAD QUARRY PARK,B-RE-0130-N002,BALANCE OF PARK,30166,BUBBLER/DRINKING FOUNTAIN,BUBBLER & 2 TAPS,-27.3814,153.004,500431,6971320,200480631
BRACKEN RIDGE,BALD HILLS,D1956,CHRIS BRUNTON PARK,B-RE-0137-N002,CHRIS BRUNTON PK FITNESS EXCERCISE CIRCUIT,194791,BUBBLER/DRINKING FOUNTAIN,TAP & BUBBLER,-27.3161,153.016,501632,6978550,100250639
CENTRAL,NEW FARM,D1948,MERTHYR ROAD PARK,B-RE-0144-N001,BALANCE OF PARK,123464,BUBBLER/DRINKING FOUNTAIN,BUBBLER,-27.4653,153.053,505190,6962020,200528419
CENTRAL,TENERIFFE,D1946,CATALINA PARK,B-RE-0146-N002,MACQUARIE ST TERRACES,111785,BUBBLER/DRINKING FOUNTAIN,DRINKING FOUNTAIN & 2 TAPS,-27.4591,153.051,504997,6962720,100082854
CALAMVALE,DREWVALE,D1940,MUSCARI CRESCENT PARK,B-RE-0150-N001,BALANCE OF PARK,52818,BUBBLER/DRINKING FOUNTAIN,BUBBLER & 2 TAPS,-27.6408,153.046,504558,6942590,200489459
PULLENVALE,CHUWAR,D1939,MT CROSBY SPORTSGROUND,B-RE-0151-N004,MT CROSBY SPORTSGROUND PLAYGROUND PICNIC AREA,52079,BUBBLER/DRINKING FOUNTAIN,BUBBLER & TAP,-27.5393,152.796,479875,6953820,200489301
PULLENVALE,CHUWAR,D1939,MT CROSBY SPORTSGROUND,B-RE-0151-N005,BALANCE OF PARK,121158,BUBBLER/DRINKING FOUNTAIN,BUBBLER & 2 TAPS,-27.5401,152.796,479882,6953720,200526307
PULLENVALE,CHUWAR,D1939,MT CROSBY SPORTSGROUND,B-RE-0151-N005,BALANCE OF PARK,121205,BUBBLER/DRINKING FOUNTAIN,BUBBLER & TAP,-27.5394,152.796,479891,6953810,200526351
PULLENVALE,CHUWAR,D1939,MT CROSBY SPORTSGROUND,B-RE-0151-N008,MT CROSBY SPORTSGROUND PICNIC AREA,121171,BUBBLER/DRINKING FOUNTAIN,BUBBLER & 2 TAPS,-27.5405,152.796,479817,6953690,200526320
PULLENVALE,CHUWAR,D1939,MT CROSBY SPORTSGROUND,B-RE-0151-N009,MT CROSBY SPORTSGROUND DOG OFF LEASH AREA,100117691,BUBBLER/DRINKING FOUNTAIN,WATER TAP & BUBBLER,-27.5393,152.795,479758,6953810,100117691
PULLENVALE,CHUWAR,D1939,MT CROSBY SPORTSGROUND,B-RE-0151-N009,MT CROSBY SPORTSGROUND DOG OFF LEASH AREA,100117692,BUBBLER/DRINKING FOUNTAIN,WATER TAP & BUBBLER,-27.5391,152.795,479801,6953830,100117692
JAMBOREE,WESTLAKE,D1936,SEABROOK CIRCUIT PARK,B-RE-0154-N002,SEABROOK CIRCUIT PICNIC AREA,142552,BUBBLER/DRINKING FOUNTAIN,BUBBLER & 2 TAPS,-27.5505,152.915,491567,6952590,200538984
